"Id","UnitId","Filename","SchoolCode","Created","CreatedBy","Uploaded","UploadedBy"
"208","128","journal.HA.201610100837267979.txt","17","2016-10-10 08:37:35","lisas","2016-10-10 08:39:48","lisas"
"209","80","journal.AG.201610261104244989.txt","01","2016-10-26 11:04:29","taylorkj","",""
"210","80","journal.AG.201611010936225559.txt","01","2016-11-01 09:37:05","wipurft","2016-11-01 09:37:17","wipurft"
"211","128","journal.HA.201611021358267215.txt","17","2016-11-02 13:59:11","lisas","2016-11-02 14:06:31","lisas"
"212","126","journal.SS.201611030815585174.txt","19","2016-11-03 08:16:22","mclaughl","2016-11-03 08:19:20","mclaughl"
"213","80","journal.AG.201612020725434375.txt","01","2016-12-02 07:26:46","wipurft","2016-12-02 07:27:14","wipurft"
"214","126","journal.SS.201612021127479401.txt","19","2016-12-02 11:28:21","mclaughl","2016-12-02 11:31:32","mclaughl"
"215","128","journal.HA.201612051323592661.txt","17","2016-12-05 13:24:26","lisas","2016-12-05 13:27:00","lisas"
"216","80","journal.AG.201701030633256806.txt","01","2017-01-03 06:34:05","wipurft","2017-01-03 06:34:26","wipurft"
"217","126","journal.SS.201701040814003329.txt","19","2017-01-04 08:14:27","mclaughl","2017-01-04 09:09:23","mclaughl"
"218","128","journal.HA.201701100853424194.txt","17","2017-01-10 08:54:00","lisas","2017-01-10 08:56:32","lisas"
"219","80","journal.AG.201701311418093116.txt","01","2017-01-31 14:18:27","wipurft","",""
"220","80","journal.AG.201701311536125295.txt","01","2017-01-31 15:36:26","taylorkj","",""
"221","80","journal.AG.201702011054202192.txt","01","2017-02-01 10:54:34","taylorkj","",""
"222","80","journal.AG.201702011714042225.txt","01","2017-02-01 17:14:04","taylorkj","",""
"223","80","journal.AG.201702020911084126.txt","01","2017-02-02 09:11:08","taylorkj","",""
"224","80","journal.AG.201702021537518378.txt","01","2017-02-02 15:37:51","taylorkj","",""
"225","80","journal.AG.201702030803083771.txt","01","2017-02-03 08:03:08","wipurft","2017-02-03 08:04:15","wipurft"
"226","126","journal.SS.201702031034008806.txt","19","2017-02-03 10:34:45","mclaughl","",""
"227","126","journal.SS.201702031039569833.txt","19","2017-02-03 10:40:08","mclaughl","",""
"228","128","journal.HA.201702031331334165.txt","17","2017-02-03 13:31:33","lisas","",""
"229","126","journal.SS.201702031350591860.txt","19","2017-02-03 13:50:59","mclaughl","",""
"230","126","journal.SS.201702060808580778.txt","19","2017-02-06 08:08:58","mclaughl","2017-02-06 08:11:57","mclaughl"
"231","126","journal.SS.201702060819314119.txt","19","2017-02-06 08:19:31","mclaughl","",""
"232","128","journal.HA.201702071129183794.txt","17","2017-02-07 11:29:18","lisas","2017-02-07 11:30:53","lisas"
"233","80","journal.AG.201703020642482047.txt","01","2017-03-02 06:42:48","wipurft","2017-03-02 06:43:04","wipurft"
"234","126","journal.SS.201703061255096683.txt","19","2017-03-06 12:55:09","mclaughl","2017-03-06 12:58:16","mclaughl"
"235","128","journal.HA.201703070934553322.txt","17","2017-03-07 09:34:55","lisas","2017-03-07 09:44:15","lisas"
"236","126","journal.SS.201703101404401767.txt","19","2017-03-10 14:04:40","mclaughl","2017-03-10 14:07:57","mclaughl"
"237","126","journal.SS.201703101644573502.txt","19","2017-03-10 16:44:57","mclaughl","2017-03-10 16:48:53","mclaughl"
"238","80","journal.AG.201704022029517842.txt","01","2017-04-02 20:29:51","wipurft","2017-04-02 20:30:17","wipurft"
"239","126","journal.SS.201704030923031450.txt","19","2017-04-03 09:23:03","mclaughl","2017-04-03 09:26:42","mclaughl"
"240","128","journal.HA.201704040943192116.txt","17","2017-04-04 09:43:19","lisas","2017-04-04 09:45:08","lisas"
"241","80","journal.AG.201705020651044753.txt","01","2017-05-02 06:51:04","wipurft","2017-05-02 06:51:50","wipurft"
"242","128","journal.HA.201705020955146539.txt","17","2017-05-02 09:55:14","lisas","2017-05-02 09:57:27","lisas"
"243","128","journal.HA.201705030855149823.txt","17","2017-05-03 08:55:15","lisas","2017-05-03 08:59:11","lisas"
"244","126","journal.SS.201705030945267360.txt","19","2017-05-03 09:45:26","jnschafe","2017-05-03 09:48:00","jnschafe"
"245","80","journal.AG.201706020818352509.txt","01","2017-06-02 08:18:35","wipurft","2017-06-02 08:18:51","wipurft"
"246","126","journal.SS.201706021227460670.txt","19","2017-06-02 12:27:46","jnschafe","2017-06-02 12:30:24","jnschafe"
"247","128","journal.HA.201706050958053356.txt","17","2017-06-05 09:58:05","lisas","2017-06-05 09:59:37","lisas"
"248","128","journal.HA.201706300847327812.txt","17","2017-06-30 08:47:33","lisas","2017-06-30 08:49:35","lisas"
"249","80","journal.AG.201707022103471801.txt","01","2017-07-02 21:03:47","wipurft","2017-07-02 21:04:24","wipurft"
"250","126","journal.SS.201707030804419957.txt","19","2017-07-03 08:04:42","jnschafe","2017-07-03 08:07:04","jnschafe"
"251","128","journal.HA.201707091354395518.txt","17","2017-07-09 13:54:39","lisas","2017-07-09 13:58:51","lisas"
"252","80","journal.AG.201707140824371354.txt","01","2017-07-14 08:24:37","wipurft","2017-07-14 08:25:33","wipurft"
"253","80","journal.AG.201708010805565451.txt","01","2017-08-01 08:05:56","wipurft","2017-08-01 08:06:10","wipurft"
"254","126","journal.SS.201708021623018376.txt","19","2017-08-02 16:23:01","jnschafe","2017-08-02 16:26:21","jnschafe"
"255","128","journal.HA.201708080959219235.txt","17","2017-08-08 09:59:22","lisas","2017-08-08 10:01:11","lisas"
"256","80","journal.AG.201709010746108040.txt","01","2017-09-01 07:46:10","wipurft","2017-09-01 07:46:34","wipurft"
"257","126","journal.SS.201709051034034223.txt","19","2017-09-05 10:34:03","jnschafe","2017-09-05 10:36:29","jnschafe"
"258","128","journal.HA.201709061016437133.txt","17","2017-09-06 10:16:43","lisas","2017-09-06 10:19:33","lisas"
"259","80","journal.AG.201710020731329700.txt","01","2017-10-02 07:31:33","wipurft","2017-10-02 07:31:50","wipurft"
"260","128","journal.HA.201710031130149726.txt","17","2017-10-03 11:30:15","lisas","2017-10-03 11:32:24","lisas"
"261","126","journal.SS.201710040939051523.txt","19","2017-10-04 09:39:05","jnschafe","2017-10-04 09:41:32","jnschafe"
"262","128","journal.HA.201710131126589355.txt","17","2017-10-13 11:26:59","lisas","2017-10-13 11:29:48","lisas"
"263","128","journal.HA.201711010957499964.txt","17","2017-11-01 09:57:50","lisas","2017-11-01 10:07:08","lisas"
"264","128","journal.HA.201711011638067768.txt","17","2017-11-01 16:38:06","lisas","2017-11-01 16:39:47","lisas"
"265","80","journal.AG.201711020642182379.txt","01","2017-11-02 06:42:18","wipurft","2017-11-02 06:42:48","wipurft"
"266","126","journal.SS.201711030950597041.txt","19","2017-11-03 09:50:59","jnschafe","2017-11-03 09:52:52","jnschafe"
"267","128","journal.HA.201712011013108435.txt","17","2017-12-01 10:13:11","lisas","2017-12-01 10:20:20","lisas"
"268","80","journal.AG.201712040653155471.txt","01","2017-12-04 06:53:15","wipurft","2017-12-04 06:53:38","wipurft"
"269","126","journal.SS.201712040811033097.txt","19","2017-12-04 08:11:03","mclaughl","2017-12-04 08:16:36","mclaughl"
"270","80","journal.AG.201801011606317893.txt","01","2018-01-01 16:06:31","wipurft","2018-01-01 16:06:47","wipurft"
"271","126","journal.SS.201801020856201125.txt","19","2018-01-02 08:56:20","mclaughl","2018-01-02 08:58:54","mclaughl"
"272","128","journal.HA.201801080919386654.txt","17","2018-01-08 09:19:38","lisas","2018-01-08 09:20:55","lisas"
"273","80","journal.AG.201802020804489798.txt","01","2018-02-02 08:04:49","wipurft","2018-02-02 08:05:14","wipurft"
"274","126","journal.SS.201802021509195316.txt","19","2018-02-02 15:09:19","mclaughl","2018-02-02 15:13:02","mclaughl"
"275","128","journal.HA.201802070927305734.txt","17","2018-02-07 09:27:30","lisas","2018-02-07 09:38:08","lisas"
"276","80","journal.AG.201803011025118053.txt","01","2018-03-01 10:25:11","ttantta","",""
"277","80","journal.AG.201803011321389007.txt","01","2018-03-01 13:21:38","ttantta","2018-03-01 13:25:45","ttantta"
"278","126","journal.SS.201803021235495372.txt","19","2018-03-02 12:35:49","mclaughl","2018-03-02 12:38:58","mclaughl"
"279","128","journal.HA.201803071530190499.txt","17","2018-03-07 15:30:19","lisas","2018-03-07 15:42:12","lisas"
"280","80","journal.AG.201803290725302196.txt","01","2018-03-29 07:25:30","ttantta","2018-03-29 07:26:18","ttantta"
"281","126","journal.SS.201804030814004299.txt","19","2018-04-03 08:14:00","mclaughl","2018-04-03 08:17:13","mclaughl"
